"STATE","ST_CASE","VE_TOTAL","VE_FORMS","PVH_INVL","PEDS","PERNOTMVIT","PERMVIT","PERSONS","COUNTY","CITY","DAY","MONTH","YEAR","DAY_WEEK","HOUR","MINUTE","NHS","ROAD_FNC","ROUTE","TWAY_ID","TWAY_ID2","MILEPT","LATITUDE","LONGITUD","SP_JUR","HARM_EV","MAN_COLL","RELJCT1","RELJCT2","TYP_INT","REL_ROAD","WRK_ZONE","LGT_COND","WEATHER1","WEATHER2","WEATHER","SCH_BUS","RAIL","NOT_HOUR","NOT_MIN","ARR_HOUR","ARR_MIN","HOSP_HR","HOSP_MN","CF1","CF2","CF3","FATALS","DRUNK_DR"
48,482663,1,1,0,0,0,1,1,53,0,21,12,2011,4,16,26,0,4,8,"RM 963                        ","                              ",93,30.85210833,-98.13266111,0,1,0,0,1,1,4,0,1,10,0,10,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482664,2,2,0,0,0,2,2,313,0,22,12,2011,5,14,45,0,4,8,"FM 39                         ","                              ",17,31.00298333,-96.11033889,0,12,6,0,1,1,1,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482665,1,1,0,0,0,1,1,357,0,22,12,2011,5,18,34,0,3,2,"US-83                         ","                              ",254,36.16773333,-100.68400833,0,1,0,0,1,1,4,0,2,3,0,3,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482666,1,1,0,1,1,1,1,453,330,23,12,2011,6,18,46,1,11,1,"I-35                          ","                              ",45,30.16025278,-97.78953889,0,8,0,0,1,1,1,0,3,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482667,2,1,1,0,0,2,2,201,0,26,12,2011,2,0,2,0,14,8,"FM 2920                       ","                              ",99,30.09893333,-95.58360833,0,59,0,0,1,1,4,0,2,2,0,2,0,"0000000",0,8,0,16,1,10,0,0,0,1,1
48,482668,1,1,0,1,1,1,1,61,3030,25,12,2011,1,0,6,1,13,2,"US-77                         ","                              ",151,26.157475,-97.67783889,0,8,0,0,1,1,1,0,3,2,0,2,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482669,1,1,0,0,0,2,2,65,0,25,12,2011,1,5,47,1,1,1,"I-40                          ","                              ",70,35.20835,-101.13992778,0,1,0,1,19,1,10,0,2,4,0,4,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482670,1,1,0,0,0,2,2,375,0,25,12,2011,1,7,45,1,11,1,"I-40                          ","                              ",293,35.20674167,-101.65243611,0,1,0,1,19,1,10,0,2,4,0,4,0,"0000000",7,48,8,7,8,44,0,0,0,1,0
48,482671,1,1,0,1,1,1,1,439,3840,25,12,2011,1,6,29,1,12,3,"SR-199                        ","ROBERTS CUT-OFF RD            ",105,32.80412222,-97.41199167,0,8,0,0,2,2,1,0,6,2,0,2,0,"0000000",6,32,6,38,7,10,0,0,0,1,0
48,482672,2,2,0,0,0,6,6,163,0,26,12,2011,2,18,28,0,3,2,"US-57                         ","                              ",140,29.00615556,-99.21215556,0,12,6,0,1,1,1,0,2,1,0,1,0,"0000000",18,58,19,24,19,59,0,0,0,1,0
48,482673,1,1,0,1,1,1,1,273,3700,27,12,2011,3,15,22,0,16,5,"6TH                           ","KLEBERG AVE                   ",0,27.51662778,-97.86764444,0,15,0,0,2,2,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482674,1,1,0,1,1,1,1,439,2450,28,12,2011,4,5,0,1,11,1,"I-35 RAMP                     ","                              ",51,32.72322778,-97.32078056,0,8,0,1,5,1,1,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482675,1,1,0,0,0,2,2,339,0,30,12,2011,6,2,20,0,3,8,"FM 1488                       ","                              ",66,30.22855833,-95.70737222,0,52,0,0,1,1,4,0,2,1,0,1,0,"0000000",2,23,2,32,3,26,0,0,0,1,1
48,482676,1,1,0,1,1,1,1,361,7200,30,12,2011,6,3,0,0,14,8,"FM 1132                       ","                              ",32,30.14326111,-93.97241944,0,8,0,0,1,1,1,0,3,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482677,2,2,0,0,0,4,4,185,0,31,12,2011,7,16,0,0,3,3,"SR-90                         ","                              ",136,30.65780556,-95.96415833,0,12,2,0,1,1,1,0,1,1,0,1,0,"0000000",16,3,16,10,17,6,20,0,0,1,0
48,482678,2,2,0,0,0,2,2,201,0,31,12,2011,7,4,20,0,14,8,"FM 525                        ","CHRISMAN RD                   ",29,29.9323,-95.36383333,0,12,6,0,2,3,1,0,3,5,0,5,0,"0000000",4,27,4,32,5,3,0,0,0,1,1
48,482679,2,2,0,0,0,3,3,245,0,31,12,2011,7,13,0,0,4,8,"FM 365                        ","                              ",90,29.91305833,-94.10941111,0,12,1,0,1,1,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482680,1,1,0,0,0,3,3,251,1030,31,12,2011,7,3,20,1,11,7,"I-35                          ","                              ",207,32.51859167,-97.30507222,0,30,0,0,1,1,4,0,2,1,0,1,0,"0000000",3,23,3,28,3,58,0,0,0,2,0
48,482681,2,2,0,0,0,2,2,457,0,31,12,2011,7,19,28,1,2,2,"US-69                         ","                              ",49,30.71398611,-94.4149,0,12,2,0,1,1,1,0,2,1,0,1,0,"0000000",19,32,19,36,20,5,0,0,0,1,0
48,482682,1,1,0,1,1,1,1,343,0,15,12,2011,5,5,40,0,3,3,"SR-49                         ","                              ",9,33.08281667,-94.80488333,0,8,0,0,1,1,1,0,2,2,0,2,0,"0000000",88,88,88,88,88,88,19,0,0,1,0
48,482683,2,2,0,0,0,2,2,133,1330,17,12,2011,7,10,33,1,1,7,"I-20                          ","SR-206                        ",65,32.37448611,-99.00556111,0,12,6,0,2,2,1,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482684,1,1,0,1,1,1,1,29,6090,19,12,2011,2,22,40,0,16,5,"BABCOCK RD                    ","                              ",0,29.52529167,-98.60053611,0,8,0,0,1,1,1,0,2,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,0
48,482685,2,2,0,0,0,2,2,85,92,19,12,2011,2,1,48,0,16,5,"SAM RAYBURN TOLLWAY           ","                              ",0,33.12831667,-96.72306944,0,12,6,0,1,1,1,0,2,10,0,10,0,"0000000",88,88,88,88,88,88,19,0,0,1,1
48,482686,2,2,0,0,0,4,4,453,0,19,12,2011,2,16,12,0,6,4,"BARTON CREEK BLVD             ","                              ",0,30.29744722,-97.85654167,0,12,6,0,1,1,1,0,1,2,0,2,0,"0000000",16,15,16,21,17,10,0,0,0,1,0
48,482687,1,1,0,0,0,1,1,201,3280,28,12,2011,4,9,5,1,11,1,"I-610                         ","                              ",51,29.71458889,-95.26641944,0,26,0,0,5,1,4,0,1,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,0
48,482688,1,1,0,0,0,15,15,381,0,30,12,2011,6,13,47,1,1,1,"I-27                          ","                              ",154,34.96693056,-101.86979722,0,1,0,0,1,1,2,0,1,1,0,1,0,"0000000",13,52,14,12,15,0,0,0,0,3,0
48,482689,2,2,0,0,0,3,3,469,0,30,12,2011,6,14,40,1,13,2,"US-77                         ","                              ",101,28.76793611,-97.09424167,0,12,6,0,1,1,1,0,1,1,0,1,0,"0000000",14,50,14,58,15,56,0,0,0,1,0
48,482690,1,1,0,0,0,1,1,113,1730,31,12,2011,7,20,51,1,11,7,"I-20                          ","KIRNWOOD DR                   ",111,32.65143056,-96.86986667,0,1,0,0,2,3,1,0,3,1,0,1,0,"0000000",20,55,20,58,99,99,0,0,0,1,1
48,482691,1,1,0,0,0,1,1,29,1209,11,4,2011,2,2,37,1,11,7,"I-410                         ","FM 1535                       ",194,29.52099444,-98.51077222,0,21,0,1,3,3,10,0,3,2,0,2,0,"0000000",2,44,2,48,3,31,0,0,0,1,0
48,482692,1,1,0,1,1,1,1,141,9997,10,5,2011,3,21,17,1,13,8,"FM-76                         ","RIO VISTA RD                  ",108,31.65907778,-106.27364722,0,8,0,0,3,2,1,0,2,1,0,1,0,"0000000",88,88,88,88,88,88,0,0,0,1,1
48,482693,1,1,0,0,0,5,5,197,0,18,9,2011,1,18,57,0,6,4,"MAYFIELD ROAD                 ","                              ",0,34.31516111,-99.75542222,0,1,0,0,1,1,1,0,1,1,0,1,0,"0000000",18,58,19,6,19,21,0,0,0,1,0
48,482694,3,2,1,0,0,3,3,479,3899,18,9,2011,1,6,45,0,16,5,"CORPUS CHRISTI ST             ","LOGAN AVE                     ",0,27.50838056,-99.488625,0,12,6,0,2,2,1,0,1,1,0,1,0,"0000000",99,99,99,99,99,99,0,0,0,1,1
